Регион;Норме УИК, код;Ссылка на видеопоток;ФИО наблюдателя;Тел;ФИО бригадира;Тел
Татарстан, Казань;135-1;http://webvyboryedg.ru/;;;;
Татарстан, Казань;138-4;http://webvyboryedg.ru/;;;;
Татарстан, Казань;141-7;http://webvyboryedg.ru/;;;;
Татарстан, Казань;145-11;http://webvyboryedg.ru/;;;;
Татарстан, Казань;148-14;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1113-93;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1151-135;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1154-138;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1157-141;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1198-186;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1201-189;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1204-192;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1271-261;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1274-264;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1277-267;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1354-349;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1357-352;http://webvyboryedg.ru/;;;;
Татарстан, Казань;1360-355;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14324-2625;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14332-1855;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14334-1857;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14336-1860;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14338-1844;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14340-1821;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14342-1837;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14344-1830;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14346-1799;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14348-1800;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14350-1801;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14352-1955;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14354-1962;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14356-2630;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14360-2625;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14362-2025;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14364-2016;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14370-2000;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14373-1997;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14375-1787;http://webvyboryedg.ru/;;;;
Ростов-на-Дону;14379-1768;http://webvyboryedg.ru/;;;;
